client_id,client_name,client_type,email,phone,city,country,billing_currency,signup_date,acquisition_channel,notes,merged_from,match_confidence,dq_flags
XT-00001,Grace Ibrahim,Individual,grace.ibrahim@outlook.com,Unknown,Port Harcourt,Nigeria,NGN,2023-01-08,Email,do not call before 10am,Not applicable,Not applicable,No issues
XT-00002,André Kim,Individual,Unknown,+2348073359548,Dubai,United Arab Emirates,NGN,2021-07-09,Unknown,Owes balance,Not applicable,Not applicable,No issues
XT-00003,Kofi Achebe,Individual,kofi.achebe@gmail.com,+2348084456920,Lagos,Nigeria,NGN,2023-08-04,Instagram,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00004,Kraft Media,Corporate,kraft.media@yahoo.com,Unknown,Atlanta,United States,NGN,2021-11-20,Email,invoice to accounts dept,Not applicable,Not applicable,phone_invalid_9_digits
XT-00005,Björn Dlamini,Individual,bjorn.dlamini@outlook.com,+2348034951944,Abuja,Nigeria,NGN,2023-04-12,Walk-in,"Discount agreed, see email",Not applicable,Not applicable,city_taken_from_own_bookings
XT-00006,Elena Adeyemi,Individual,elena.adeyemi@company.ng,Unknown,Abuja,Nigeria,NGN,2022-06-26,Google,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00007,Fatima Achebe,Individual,fatima.achebe@company.ng,+2348090028003,Port Harcourt,Nigeria,NGN,2022-12-12,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00008,Kraft Holdings,Corporate,kraft.holdings@yahoo.com,+2348048375232,Lagos,Nigeria,NGN,2024-03-01,Unknown,do not call before 10am,Not applicable,Not applicable,No issues
XT-00009,Ngozi Smith,Individual,ngozi.smith@company.ng,Unknown,Lagos,Nigeria,NGN,2022-06-22,Google,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00010,Amaka Bello,Individual,Unknown,+2348040362760,Abuja,Nigeria,NGN,2024-05-29,Instagram,Not applicable,Not applicable,Not applicable,No issues
XT-00011,Harmattan Media,Corporate,harmattan.media@outlook.com,+2348015121804,Enugu,Nigeria,NGN,2023-03-19,Referral,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00012,Sarah Mohammed,Individual,sarah.mohammed@gmail.com,+2348012222022,Accra,Ghana,NGN,2022-07-04,TikTok,"Discount agreed, see email",Not applicable,Not applicable,client_type_derived_from_name
XT-00013,Radiant Group,Corporate,radiant.group@yahoo.com,+2348099396905,Lagos,Nigeria,NGN,2023-10-14,TikTok,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00014,Mango NGO,Corporate,mango.ngo@gmail.com,+2348088751849,Dubai,United Arab Emirates,NGN,2024-06-07,TikTok,Not applicable,Not applicable,Not applicable,No issues
XT-00015,Temitope Kim,Individual,temitope.kim@yahoo.com,+2348094379513,Ibadan,Nigeria,NGN,2022-02-10,Walk-in,Owes balance,Not applicable,Not applicable,No issues
XT-00016,Uche Müller,Individual,uche.muller@mail.com,+2348015069894,Port Harcourt,Nigeria,NGN,2022-04-21,Instagram,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00017,Terra Collective,Corporate,terra.collective@outlook.com,Unknown,Abuja,Nigeria,NGN,2022-09-01,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00018,Silverbird Brands,Corporate,Unknown,+2348037346996,Abuja,Nigeria,NGN,2023-01-09,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00019,Harmattan LTD,Corporate,harmattan.ltd@gmail.com,+2348050083970,Lagos,Nigeria,NGN,2023-04-07,TikTok,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
