order_id,line_no,order_ts_utc,client_id,client_id_orig,customer_email,sku,product_name,size,quantity,unit_price_ngn,line_gross_ngn,discount_code,shipping_country,payment_method,sales_channel,order_status,dq_flags
ORD500001,1,2023-01-01T02:27:04Z,Guest,Not applicable,guest50013@mail.com,XT-POS-020,Golden Hour Poster A2,L,1,14500.0,14500.0,DROP15,Nigeria,PayPal,Wholesale,Cancelled,No issues
ORD500002,1,2023-01-01T18:53:57Z,Guest,Not applicable,guest18097@mail.com,XT-TEE-022,Golden Hour Tee,Unknown,1,19300.0,19300.0,Not applicable,United Kingdom,Cash,Website,Delivered,No issues
ORD500002,2,2023-01-01T18:53:57Z,Guest,Not applicable,guest92709@mail.com,XT-MUG-035,Anniversary ’05 Mug,S,1,7500.0,7500.0,Not applicable,Unknown,Flutterwave,Website,Delivered,No issues
ORD500003,1,2023-01-01T13:53:16Z,XT-01720,Not applicable,jose.dlamini@company.ng,XT-CAP-031,Studio Basics Cap,L,5,14000.0,70000.0,Not applicable,Nigeria,Cash,Wholesale,Delivered,No issues
ORD500004,1,2023-01-01T20:44:14Z,Guest,Not applicable,guest77280@mail.com,XT-LIM-045,Behind The Lens Limited Print,S,1,72300.0,72300.0,LAGOS10,Kenya,Bank Transfer,Website,Delivered,No issues
ORD500005,1,2023-01-01T20:51:05Z,Guest,Not applicable,guest16369@mail.com,XT-CAP-007,Lagos Nights Cap,One Size,1,13300.0,13300.0,Not applicable,Nigeria,POS,Website,Delivered,No issues
ORD500006,1,2023-01-01T12:45:59Z,XT-01260,Not applicable,ngozi.danjuma@outlook.com,XT-LIM-021,Golden Hour Limited Print,One Size,1,98600.0,98600.0,Not applicable,Canada,Flutterwave,Wholesale,Returned,No issues
ORD500007,1,2023-01-01T23:58:55Z,XT-00588,Not applicable,damilola.oyelaran@outlook.com,XT-MUG-003,Harmattan Drop Mug,M,2,9100.0,18200.0,XTRIM20,United Kingdom,POS,Website,Delivered,No issues
ORD500008,1,2023-01-01T08:09:51Z,XT-00418,Not applicable,lagoon.studios@gmail.com,XT-TEE-030,Studio Basics Tee,One Size,1,16800.0,16800.0,XTRIM20,United Kingdom,Stripe,Website,Returned,No issues
ORD500009,1,2023-01-01T06:14:11Z,Guest,Not applicable,guest82077@mail.com,XT-MUG-003,Harmattan Drop Mug,XL,1,9100.0,9100.0,XTRIM20,Unknown,PayPal,Pop-up,Shipped,No issues
ORD500010,1,2023-01-01T09:14:38Z,XT-00475,Not applicable,cassava.limited@company.ng,XT-CAP-007,Lagos Nights Cap,One Size,1,13300.0,13300.0,BLACKFRI,Kenya,Flutterwave,Instagram,Returned,No issues
ORD500011,1,2023-01-01T03:53:46Z,Guest,Not applicable,guest78521@mail.com,XT-TEE-022,Golden Hour Tee,One Size,1,19300.0,19300.0,XTRIM20,United Kingdom,PayPal,Pop-up,Delivered,No issues
ORD500012,1,2023-01-01T12:50:25Z,XT-00143,Not applicable,andre.farouk@gmail.com,XT-MUG-018,35mm Club Mug,Unknown,1,6700.0,6700.0,STUDENT5,United States,POS,Pop-up,Returned,No issues
ORD500013,1,2023-01-01T10:52:10Z,Guest,Not applicable,guest45277@mail.com,XT-STI-026,Golden Hour Sticker Pack,One Size,3,4400.0,13200.0,Not applicable,South Africa,Bank Transfer,Unknown,Pending,No issues
ORD500013,2,2023-01-01T10:52:10Z,Guest,Not applicable,guest34122@mail.com,XT-HOO-029,Studio Basics Hoodie,M,1,47400.0,47400.0,Not applicable,South Africa,Paystack,Instagram,Pending,No issues
ORD500013,3,2023-01-01T10:52:10Z,Guest,Not applicable,guest90815@mail.com,XT-STI-044,Behind The Lens Sticker Pack,Unknown,1,3300.0,3300.0,Not applicable,United States,Flutterwave,Website,Pending,No issues
